pred_precio_log,precio_pred,id
5.1927295,179.96,4392320
5.859033,350.39,4399271
4.70375,110.36,4400390
5.7205496,305.07,4400736
5.9824567,396.41,4409059
5.4450374,231.61,4415541
5.1193633,167.23,4415694
6.0915103,442.09,4416006
5.7749286,322.12,4419860
5.453697,233.62,4422386
3.393167,29.76,4463682
5.9729147,392.65,4486999
5.564779,261.07,4510598
4.393829,80.95,4515421
5.2268915,186.21,4528856
5.3519154,211.01,4529852
5.4118967,224.06,4529983
5.2941475,199.17,4530117
5.5618634,260.31,4539828
4.7660856,117.46,4542712
5.796533,329.16,4543132
5.7235556,305.99,4543168
5.785938,325.69,4553581
5.3528724,211.21,4572269
3.2231743,25.11,4586860
6.3716083,585.0,4610380
5.3287506,206.18,4618852
5.7603197,317.45,4629188
5.8813357,358.29,4657312
4.100578,60.38,4679251
5.2404,188.75,4683548
4.5408597,93.77,4691491
5.3209987,204.59,4697931
5.528899,251.87,4699752
3.8575532,47.35,4716339
5.6432385,282.38,4725070
5.5600476,259.84,4725296
5.308326,202.01,4749831
6.019575,411.4,4764274
5.8923182,362.24,4771858
5.9894056,399.18,4780532
5.5168777,248.86,4806720
5.368722,214.59,4831788
5.6221757,276.49,4834811
5.483505,240.69,4843329
5.242213,189.09,4864848
5.574405,263.59,4879700
5.9259386,374.63,4886587
6.8385315,933.12,4891343
5.3720164,215.3,4904743
5.3291397,206.26,4911075
5.338171,208.13,4914558
6.214197,499.79,4921267
5.2842565,197.21,4922877
5.247871,190.16,4930235
5.388344,218.84,4970715
5.8743477,355.79,4973692
6.490682,658.97,4992385
5.3641562,213.61,5008477
5.0476613,155.66,5008858
5.384725,218.05,5015728
5.1733274,176.5,5035944
5.271206,194.65,5037632
5.3639083,213.56,5049684
6.4926896,660.3,5053322
5.4586473,234.78,5064035
4.8372135,126.12,5068892
5.452617,233.37,5093591
5.720565,305.08,5097014
5.76103,317.68,5101904
5.2666097,193.76,5112386
5.691197,296.25,5124937
5.513286,247.96,5130426
5.2064495,182.45,5143895
6.2784057,532.94,5169542
6.217922,501.66,5170890
5.16449,174.95,5176876
5.689118,295.63,5178129
3.6360826,37.94,5179215
5.7078295,301.22,5180175
5.273163,195.03,5180662
5.89486,363.17,5180710
5.8440623,345.18,5181607
5.1902714,179.52,5197640
6.196738,491.14,5197752
5.502891,245.4,5198974
5.5220633,250.15,5228021
5.626889,277.8,5246095
5.1197867,167.3,5247783
5.3002453,200.39,5248481
5.203252,181.86,5248745
5.2641144,193.28,5249693
5.2366962,188.05,5256656
5.191052,179.66,5268514
5.381641,217.38,5275404
5.209543,183.01,5276663
5.4230824,226.58,5293741
5.212038,183.47,5311505
5.3062687,201.6,5312035
5.369773,214.81,5312339
5.890494,361.58,5313939
5.44944,232.63,5322583
5.6769886,292.07,5323760
5.268085,194.04,5328599
5.4745603,238.55,5332741
